         1941071 function calls (1817527 primitive calls) in 143.913 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      299   34.597    0.116   34.597    0.116 {method 'write' of 'cv2.VideoWriter' objects}
      828   27.835    0.034   27.835    0.034 {method 'encode' of 'ImagingEncoder' objects}
    21000   27.368    0.001   27.368    0.001 {built-in method conv2d}
      300   13.979    0.047   13.979    0.047 {method 'read' of 'cv2.VideoCapture' objects}
    15249   10.327    0.001   10.327    0.001 {built-in method torch._C._nn.silu_}
      900    4.925    0.005    4.925    0.005 {built-in method max_pool2d}
      299    3.198    0.011    3.198    0.011 {waitKey}
        1    3.041    3.041    3.041    3.041 {built-in method builtins.input}
        9    2.459    0.273    2.459    0.273 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
      810    2.142    0.003    2.142    0.003 {method 'decode' of 'ImagingDecoder' objects}
        1    1.152    1.152  143.915  143.915 C:/Users/Giulia Ciaramella/PycharmProjects/yolov5/detect_my.py:26(detect)
     2400    1.138    0.000    1.138    0.000 {built-in method torch._C._nn.leaky_relu_}
     4597    1.080    0.000    1.080    0.000 {built-in method cat}
68700/300    0.851    0.000   50.045    0.167 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:715(_call_impl)
      598    0.787    0.001    0.787    0.001 {resize}
   114508    0.700    0.000    0.701    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:765(__getattr__)
      300    0.649    0.002    1.579    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:39(forward)
     2400    0.585    0.000    0.585    0.000 {built-in method batch_norm}
      300    0.505    0.002   50.031    0.167 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:121(forward_once)
      600    0.342    0.001    0.342    0.001 {built-in method torch._C._nn.upsample_nearest2d}
     2400    0.316    0.000   27.929    0.012 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:69(forward)
      135    0.290    0.002    0.291    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
     3600    0.281    0.000   12.162    0.003 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:52(forward)
        9    0.238    0.026    0.238    0.026 {built-in method PIL._imaging.merge}
      900    0.224    0.000    0.224    0.000 {method 'sigmoid' of 'torch._C._TensorBase' objects}
      713    0.194    0.000    0.194    0.000 {method 'float' of 'torch._C._TensorBase' objects}
        9    0.176    0.020    0.176    0.020 {method 'split' of 'ImagingCore' objects}
       49    0.152    0.003    0.152    0.003 {built-in method io.open}
       32    0.150    0.005    0.150    0.005 {method 'read' of '_io.BufferedReader' objects}
    15300    0.139    0.000   34.833    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:39(fuseforward)
    69478    0.133    0.000    0.133    0.000 {built-in method torch._C._get_tracing_state}
    21000    0.122    0.000   27.510    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:414(_conv_forward)
      376    0.115    0.000    0.121    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\serialization.py:829(load_tensor)
        9    0.102    0.011    0.102    0.011 {built-in method PIL._imaging.fill}
      299    0.098    0.000    0.098    0.000 {imshow}
     2456    0.096    0.000    0.097    0.000 {built-in method numpy.array}
