         470772435 function calls (452710241 primitive calls) in 5467.096 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   78.627   78.627 5467.471 5467.471 C:/Users/Giulia Ciaramella/PycharmProjects/yolov5/detect_my.py:27(detect)
2644950/11550   33.083    0.000 1892.872    0.164 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:715(_call_impl)
    11550    0.278    0.000 1892.457    0.164 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:108(forward)
    11550   19.255    0.002 1892.179    0.164 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:128(forward_once)
     8837    1.196    0.000 1622.057    0.184 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\im_sim_v3.py:44(rust_classifier)
     8870    0.418    0.000 1621.668    0.183 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\keras\engine\training.py:126(_method_wrapper)
     8870    0.975    0.000 1609.711    0.181 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\keras\engine\training.py:1486(predict)
   589050    5.338    0.000 1315.666    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:39(fuseforward)
    11550 1130.837    0.098 1130.837    0.098 {method 'write' of 'cv2.VideoWriter' objects}
   808500    3.610    0.000 1056.939    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:422(forward)
   808500    4.543    0.000 1052.132    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:414(_conv_forward)
   808500 1046.865    0.001 1046.865    0.001 {built-in method conv2d}
    92400   10.690    0.000 1046.735    0.011 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:69(forward)
     8870    0.254    0.000  888.646    0.100 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\def_function.py:757(__call__)
     8870    0.101    0.000  887.989    0.100 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\def_function.py:798(_call)
     8868    0.084    0.000  885.215    0.100 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:2825(__call__)
     8870    0.139    0.000  883.894    0.100 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:1827(_filtered_call)
     8870    0.224    0.000  883.439    0.100 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:1850(_call_flat)
     8870    0.267    0.000  882.706    0.100 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:509(call)
     8870    0.087    0.000  882.300    0.099 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\execute.py:33(quick_execute)
     8870  882.196    0.099  882.196    0.099 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
     8870    0.348    0.000  580.800    0.065 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\keras\engine\data_adapter.py:1073(__init__)
     8870    0.411    0.000  576.869    0.065 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\keras\engine\data_adapter.py:254(__init__)
    26610    1.156    0.000  536.473    0.020 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:3186(__init__)
    26610    0.126    0.000  526.645    0.020 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:2931(get_concrete_function)
    35480    0.813    0.000  526.537    0.015 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:3147(_maybe_define_function)
    26610    0.682    0.000  526.502    0.020 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:2870(_get_concrete_function_garbage_collected)
    26612    0.638    0.000  521.388    0.020 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:3047(_create_graph_function)
    92400    0.849    0.000  455.463    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\container.py:115(forward)
   138600   10.555    0.000  452.426    0.003 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:52(forward)
    11551    0.450    0.000  440.030    0.038 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\datasets.py:160(__next__)
    11551  424.789    0.037  424.789    0.037 {method 'read' of 'cv2.VideoCapture' objects}
    26612    1.934    0.000  394.053    0.015 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:801(func_graph_from_py_func)
   589050    1.922    0.000  386.273    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\activation.py:393(forward)
   589050    2.944    0.000  384.352    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\functional.py:1719(silu)
   588999  381.160    0.001  381.160    0.001 {built-in method torch._C._nn.silu_}
     8870    0.024    0.000  280.625    0.032 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1704(flat_map)
     8870    0.403    0.000  280.601    0.032 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4119(__init__)
    17740    0.079    0.000  274.897    0.015 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:1557(map)
    26610    0.228    0.000  248.288    0.009 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:3358(wrapper_fn)
    26610    0.331    0.000  246.415    0.009 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:3292(_wrapper_helper)
    26612    0.247    0.000  242.869    0.009 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\impl\api.py:247(wrapper)
26616/26612    0.531    0.000  242.376    0.009 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\impl\api.py:417(converted_call)
26614/26612    0.126    0.000  234.116    0.009 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\impl\api.py:330(_call_unconverted)
    11550    0.477    0.000  232.948    0.020 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:100(forward)
98386/98212   10.594    0.000  208.726    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:299(_apply_op_helper)
124846/89021    0.271    0.000  204.409    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\dispatch.py:198(wrapper)
   214316    2.162    0.000  199.619    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:528(_create_op_internal)
   214316    3.747    0.000  196.409    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:3418(_create_op_internal)
    11550    0.112    0.000  180.565    0.016 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:102(<listcomp>)
56102/45376    0.204    0.000  180.196    0.004 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\_jit_internal.py:257(fn)
